LYNX,,,,,,,,,,,,,,,,,
L(km),Ht(m),de(mm),Few(kg),BMEw(kgm),T1e(kg),BMEt(kgm),h1(m),h2(m),h3(m),dp(mm),Fwp(kg),BMPw(kgm),T1p(kg),BMPt(kgm),TBM(kgm),TW(tonnes),
0.25,26.26464,14.6,243.3333333,6391.0624,3332,8135.596083,10.26984,13.08709,15.90434,19.53,325.5,12779.54339,4041.794,29504.03725,56810.23912,5.586362557,
0.275,26.93281,14.6,267.6666667,7209.015477,3332,8342.564891,10.93801,13.75526,16.57251,19.53,358.05,14775.21253,4041.794,31010.3853,61337.1782,5.952342609,
0.3,27.65822,14.6,292,8076.20024,3332,8567.264059,11.66342,14.48067,17.29792,19.53,390.6,16968.44911,4041.794,32645.77741,66257.69081,6.353115221,
0.325,28.44092,14.6,316.3333333,8996.811027,3332,8809.709075,12.44612,15.26337,18.08062,19.53,423.15,19376.08505,4041.794,34410.32628,71592.93143,6.790833313,
0.35,29.281,14.6,340.6666667,9975.060667,3332,9069.927816,13.2862,16.10345,18.9207,19.53,455.7,22015.0265,4041.794,36304.23483,77364.24981,7.267757383,
PANTHER,,,,,,,,,,,,,,,,,
L(km),Ht(m),de(mm),Few(kg),BMEw(kgm),T1e(kg),BMEt(kgm),h1(m),h2(m),h3(m),dp(mm),Fwp(kg),BMPw(kgm),T1p(kg),BMPt(kgm),TBM(kgm),TW(tonnes),
0.25,26.23185,14.6,243.3333333,6383.0835,3332,8125.439226,10.23705,13.0543,15.87155,21,350,13707.015,4627.931,33698.0405,61913.57823,5.824601658,
0.275,26.88458,14.6,267.6666667,7196.105913,3332,8327.625421,10.88978,13.70703,16.52428,21,385,15831.61965,4627.931,35382.98125,66738.33223,6.19776761,
0.3,27.59157,14.6,292,8056.73844,3332,8546.618907,11.59677,14.41402,17.23127,21,420,18161.6652,4627.931,37207.98739,71973.00993,6.605498571,
0.325,28.35282,14.6,316.3333333,8968.94206,3332,8782.419684,12.35802,15.17527,17.99252,21,455,20714.24355,4627.931,39173.05892,77638.66422,7.049846243,
0.35,29.16841,14.6,340.6666667,9936.705007,3332,9035.052532,13.17361,15.99086,18.80811,21,490,23506.5642,4627.931,41278.40236,83756.7241,7.532982429,
LION,,,,,,,,,,,,,,,,,
L(km),Ht(m),de(mm),Few(kg),BMEw(kgm),T1e(kg),BMEt(kgm),h1(m),h2(m),h3(m),dp(mm),Fwp(kg),BMPw(kgm),T1p(kg),BMPt(kgm),TBM(kgm),TW(tonnes),
0.25,26.25444,14.6,243.3333333,6388.5804,3332,8132.436585,10.2596,13.0769,15.8941,22.26,371,14554.5526,5147.808,37548.29488,66623.86446,6.047307135,
0.275,26.9028,14.6,267.6666667,7200.9828,3332,8333.269152,10.908,13.7253,16.5425,22.26,408.1,16803.84398,5147.808,39410.07989,71748.17582,6.430537452,
0.3,27.6036,14.6,292,8060.2512,3332,8550.345256,11.6088,14.4261,17.2433,22.26,445.2,19267.45464,5147.808,41422.32378,77300.37488,6.848585509,
0.325,28.3567,14.6,316.3333333,8970.169433,3332,8783.621533,12.3619,15.1792,17.9964,22.26,482.3,21962.73625,5147.808,43584.73941,83301.26663,7.303412798,
0.35,29.1622,14.6,340.6666667,9934.589467,3332,9033.128956,13.1674,15.9847,18.8019,22.26,519.4,24907.3076,5147.808,45897.61392,89772.63994,7.797163471,
BEAR,,,,,,,,,,,,,,,,,
L(km),Ht(m),de(mm),Few(kg),BMEw(kgm),T1e(kg),BMEt(kgm),h1(m),h2(m),h3(m),dp(mm),Fwp(kg),BMPw(kgm),T1p(kg),BMPt(kgm),TBM(kgm),TW(tonnes),
0.25,26.2194,14.6,243.3333333,6380.054,3332,8121.58278,10.2246,13.0419,15.8591,23.45,390.8333333,15291.58867,5710.411,41540.46052,71333.68596,6.249056323,
0.275,26.8564,14.6,267.6666667,7188.563067,3332,8318.896533,10.8616,13.6788,16.4961,23.45,429.9166667,17642.27529,5710.411,43569.30266,76719.03755,6.638099024,
0.3,27.5438,14.6,292,8042.7896,3332,8531.821925,11.549,14.3663,17.1835,23.45,469,20213.3372,5710.411,45758.88932,82546.83804,7.06184912,
0.325,28.2816,14.6,316.3333333,8946.4128,3332,8760.358953,12.2868,15.104,17.9213,23.45,508.0833333,23022.32281,5710.411,48108.7958,88837.89036,7.522244597,
0.35,29.0698,14.6,340.6666667,9903.111867,3332,9004.50762,13.075,15.8922,18.7095,23.45,547.1666667,26087.10102,5710.411,50619.34064,95614.06114,8.021346617,
GOAT,,,,,,,,,,,,,,,,,
L(km),Ht(m),de(mm),Few(kg),BMEw(kgm),T1e(kg),BMEt(kgm),h1(m),h2(m),h3(m),dp(mm),Fwp(kg),BMPw(kgm),T1p(kg),BMPt(kgm),TBM(kgm),TW(tonnes),
0.25,25.7671,14.6,243.3333333,6269.994333,3332,7981.480722,9.7723,12.5896,15.4068,25.97,432.8333333,16347.55232,6934.07,48692.62494,79291.65231,6.474759387,
0.275,26.3493,14.6,267.6666667,7052.8293,3332,8161.819917,10.3545,13.1717,15.989,25.97,476.1166667,18813.84531,6934.07,50944.26901,84972.76353,6.854145362,
0.3,26.9822,14.6,292,7878.8024,3332,8357.863676,10.9874,13.8046,16.6219,25.97,519.4,21510.37966,6934.07,53392.13422,91139.17996,7.268993366,
0.325,27.6656,14.6,316.3333333,8751.551467,3332,8569.550049,11.6708,14.488,17.3053,25.97,562.6833333,24456.52467,6934.07,56035.31812,97812.9443,7.721161145,
0.35,28.3992,14.6,340.6666667,9674.6608,3332,8796.786108,12.4044,15.2217,18.0389,25.97,605.9666667,27671.46783,6934.07,58872.78931,105015.7041,8.212541695,
